,x,y
65,1072.5520833333335,273.533203125
66,1073.4895833333335,276.908203125
67,1074.0104166666667,280.44140625
68,1074.3229166666667,283.974609375
69,1074.2708333333335,287.5078125
70,1073.9583333333335,291.041015625
71,1073.3854166666667,294.732421875
72,1072.5,298.4765625
73,1071.3541666666667,302.2734375
74,1069.9479166666667,306.123046875
75,1068.28125,310.025390625
76,1066.3541666666667,314.033203125
77,1064.21875,318.146484375
78,1061.875,322.259765625
79,1059.21875,326.42578125
80,1056.3020833333335,330.64453125
81,1053.125,334.916015625
82,1049.6354166666667,339.29296875
83,1045.8333333333335,343.669921875
84,1041.8229166666667,348.046875
85,1037.65625,352.423828125
86,1033.28125,356.6953125
87,1028.8020833333335,360.861328125
88,1024.2708333333335,364.869140625
89,1019.6354166666667,368.876953125
90,1014.8958333333335,372.779296875
91,1010.1562500000001,376.576171875
92,1005.4166666666667,380.373046875
93,1000.7291666666667,384.1171875
94,996.0937500000001,387.861328125
95,991.4062500000001,391.552734375
96,986.7708333333334,395.296875
97,982.1354166666667,398.98828125
98,977.5520833333335,402.732421875
99,973.1250000000001,406.529296875
100,968.8020833333335,410.431640625
101,964.6354166666667,414.38671875
102,960.625,418.39453125
103,956.7708333333334,422.455078125
104,953.0729166666667,426.568359375
105,949.5833333333335,430.62890625
106,946.1979166666667,434.53125
107,943.0208333333334,438.43359375
108,939.9479166666667,442.177734375
109,937.2395833333334,445.869140625
110,934.53125,449.455078125
111,932.0833333333334,452.77734375
112,929.5833333333334,456.046875
113,927.0833333333334,458.947265625
114,924.6354166666667,461.689453125
115,922.2395833333334,464.2734375
116,919.8958333333334,466.751953125
117,917.65625,469.072265625
118,915.4166666666667,471.287109375
119,913.1770833333335,473.396484375
120,910.9375000000001,475.453125
121,908.6458333333335,477.404296875
122,906.1979166666667,479.197265625
123,903.6458333333335,480.990234375
124,901.1458333333334,482.677734375
125,898.75,484.3125
126,896.2500000000001,486.0
127,893.6458333333335,487.58203125
128,890.9375000000001,489.1640625
129,888.3333333333335,490.904296875
130,885.6250000000001,492.697265625
131,883.0729166666667,494.384765625
132,880.5208333333334,496.23046875
133,878.0208333333334,498.076171875
134,875.625,499.869140625
135,873.2291666666667,501.556640625
136,870.9895833333334,503.033203125
137,868.90625,504.193359375
138,866.71875,505.08984375
139,864.4270833333334,505.72265625
140,862.2395833333334,506.197265625
141,860.0,506.513671875
142,857.8125,506.619140625
143,855.6770833333334,506.619140625
144,853.6979166666667,506.56640625
145,851.875,506.35546875
146,850.2083333333335,506.0390625
147,848.59375,505.669921875
148,847.1354166666667,505.30078125
149,845.8333333333335,504.984375
150,844.6875,504.720703125
151,843.6458333333334,504.615234375
152,842.7083333333334,504.66796875
153,841.9270833333334,504.720703125
154,841.3541666666667,504.826171875
155,840.8854166666667,505.142578125
156,840.5729166666667,505.51171875
157,840.3645833333334,505.93359375
158,840.3645833333334,506.35546875
159,840.46875,506.830078125
160,840.7812500000001,507.19921875
161,841.3020833333335,507.568359375
162,841.9270833333334,507.884765625
163,842.65625,508.095703125
164,843.4895833333334,508.04296875
165,844.375,507.884765625
166,845.3125,507.568359375
167,846.1979166666667,507.19921875
168,847.0312500000001,506.77734375
169,847.8645833333335,506.35546875
170,848.6458333333335,505.93359375
171,849.2708333333334,505.564453125
172,849.84375,505.248046875
173,850.2083333333334,505.037109375
174,850.4687500000001,504.984375
175,850.5729166666667,505.08984375
176,850.625,505.248046875
177,850.6770833333334,505.72265625
178,850.5729166666667,506.25
179,850.3645833333334,506.935546875
180,850.0520833333334,507.62109375
181,849.375,508.412109375
182,848.6458333333335,509.255859375
183,847.7604166666667,510.205078125
184,846.7708333333334,511.20703125
185,845.625,512.314453125
186,844.5833333333335,513.580078125
187,843.4375000000001,514.79296875
188,842.2916666666667,516.1640625
189,840.9895833333334,517.376953125
190,839.7916666666667,518.431640625
191,838.4375000000001,519.275390625
192,837.0833333333335,519.9609375
193,835.5729166666667,520.171875
194,834.1666666666667,520.119140625
195,832.7083333333335,519.908203125
196,831.2500000000001,519.22265625
197,830.0000000000001,518.484375
198,828.8020833333335,517.640625
199,827.8125000000001,516.533203125
200,826.7708333333335,515.478515625
201,825.78125,514.58203125
202,825.0520833333335,513.6328125
203,824.6354166666667,512.841796875
204,824.2708333333335,512.15625
205,824.2187500000001,511.470703125
206,824.2187500000001,510.99609375
207,824.4791666666667,510.57421875
208,824.8437500000002,510.2578125
209,825.3125000000001,510.099609375
210,825.9375000000001,510.099609375
211,826.8229166666667,510.36328125
212,827.9166666666667,510.6796875
213,829.0625000000001,511.048828125
214,830.3645833333335,511.5234375
215,831.8229166666667,512.15625
216,833.4375000000001,512.736328125
217,835.2083333333335,513.31640625
218,837.0833333333335,513.84375
219,839.0625000000002,514.16015625
220,841.0937500000001,514.37109375
221,843.1250000000001,514.37109375
222,845.0520833333335,514.37109375
223,846.9791666666667,514.265625
224,848.8020833333335,514.16015625
225,850.5208333333335,513.896484375
226,852.1875000000001,513.6328125
227,853.6979166666667,513.421875
228,855.1041666666667,513.31640625
229,856.4062500000001,513.31640625
230,857.6041666666667,513.421875
231,858.6458333333335,513.6328125
232,859.6354166666667,513.84375
233,860.3645833333335,514.16015625
234,860.8333333333334,514.4765625
235,861.09375,514.79296875
236,861.1458333333335,515.109375
237,861.0416666666667,515.42578125
238,860.7291666666667,515.84765625
239,860.3645833333335,516.111328125
240,859.7916666666667,516.427734375
241,859.0104166666667,516.744140625
242,858.0208333333334,517.11328125
243,856.9270833333335,517.482421875
244,855.6250000000001,517.798828125
245,854.4270833333335,518.115234375
246,853.1250000000001,518.37890625
247,851.8229166666667,518.6953125
248,850.4166666666667,519.01171875
249,849.1145833333335,519.22265625
250,847.5520833333335,519.328125
